feature,coefficient,abs_coefficient
cat__subcategory_popculture,-0.06163548602465923,0.06163548602465923
cat__subcategory_lifestylefashion,-0.059253630090780184,0.059253630090780184
cat__subcategory_music-awards,-0.056563267237458234,0.056563267237458234
cat__subcategory_finance-career-education,0.05529052687436105,0.05529052687436105
cat__subcategory_lifestylevideo,0.05374500036257221,0.05374500036257221
cat__subcategory_ads-lung-health,-0.05365330016349116,0.05365330016349116
cat__subcategory_basketball_ncaa,-0.05362279269778821,0.05362279269778821
num__weekday,-0.0531043795663799,0.0531043795663799
cat__subcategory_racing,-0.0451854543179992,0.0451854543179992
cat__subcategory_more_sports,-0.04420541369988752,0.04420541369988752
cat__subcategory_travel,-0.04326420564661275,0.04326420564661275
num__is_weekend,0.04114735820987328,0.04114735820987328
cat__subcategory_celebrity,-0.04108105988505322,0.04108105988505322
cat__subcategory_restaurantsandnews,-0.04056814605146238,0.04056814605146238
cat__subcategory_football_ncaa,0.03751127272587002,0.03751127272587002
cat__subcategory_causes-food-insecurity,-0.036665748348208335,0.036665748348208335
cat__subcategory_autosnews,-0.03597413964440387,0.03597413964440387
cat__subcategory_tv-golden-globes-video,-0.03478622101713068,0.03478622101713068
cat__subcategory_traveltrivia,-0.033899490170429106,0.033899490170429106
cat__subcategory_lifestylewhatshot,-0.029610598865664008,0.029610598865664008
cat__subcategory_finance-mutual-funds,-0.02955023471367735,0.02955023471367735
cat__subcategory_entertainmenttv,0.02859082212996651,0.02859082212996651
cat__subcategory_tv-celebrity,0.026074684399589636,0.026074684399589636
cat__subcategory_movies-awards,-0.025390798354082828,0.025390798354082828
cat__subcategory_gaming,0.023623303505152533,0.023623303505152533
cat__subcategory_golf,0.023590015248345197,0.023590015248345197
num__hour,-0.02349814569322134,0.02349814569322134
cat__subcategory_science,-0.022373451079395874,0.022373451079395874
cat__subcategory_basketball_ncaa_videos,-0.02182454141775671,0.02182454141775671
cat__subcategory_lifestyledecor,-0.020678661433597787,0.020678661433597787
cat__subcategory_newsfactcheck,-0.020222940605311407,0.020222940605311407
cat__category_music,0.019790277338028454,0.019790277338028454
cat__subcategory_ustravel,0.019217154351524407,0.019217154351524407
cat__subcategory_finance-education,-0.019099932890073786,0.019099932890073786
cat__subcategory_internationaltravel,-0.018832513679560535,0.018832513679560535
cat__subcategory_newsweather,-0.018829268992129108,0.018829268992129108
cat__subcategory_finance-small-business,0.018142868936423737,0.018142868936423737
cat__subcategory_newstrends,0.01747254423179594,0.01747254423179594
cat__subcategory_retirement,-0.015837297060907966,0.015837297060907966
cat__subcategory_tennis,0.015600319401916333,0.015600319401916333
cat__category_video,-0.014930363520964978,0.014930363520964978
cat__subcategory_lifestylehoroscope,-0.014749154998924771,0.014749154998924771
cat__subcategory_lifestyleweddings,-0.013957947360420678,0.013957947360420678
num__same_category_count,0.013810084428164981,0.013810084428164981
cat__subcategory_newsscience,0.013740376006479761,0.013740376006479761
cat__subcategory_pregnancyparenting,0.013411237937477814,0.013411237937477814
cat__subcategory_causes-poverty,0.010415746004451516,0.010415746004451516
cat__subcategory_causes-animals,-0.009796052976126965,0.009796052976126965
cat__subcategory_traveltripideas,-0.00915881132088843,0.00915881132088843
cat__subcategory_basketball_nba_videos,-0.009126520135858858,0.009126520135858858
cat__subcategory_lifestylerelationships,-0.008721581181504252,0.008721581181504252
cat__subcategory_recipes,0.00847506381727221,0.00847506381727221
cat__category_kids,-0.007544379745612778,0.007544379745612778
cat__subcategory_lifestylecelebstyle,0.0072969824322122795,0.0072969824322122795
cat__subcategory_tv-reviews,-0.007029737927481552,0.007029737927481552
cat__subcategory_autosvideonew,0.0069930976153109855,0.0069930976153109855
cat__subcategory_lifestylelovesex,-0.00672620944090598,0.00672620944090598
cat__subcategory_soccer_mls,-0.006703022835721051,0.006703022835721051
cat__subcategory_lifestylehoroscopefish,-0.0061225599278906745,0.0061225599278906745
cat__subcategory_people-places,-0.005827795691996917,0.005827795691996917
cat__subcategory_movies-oscars,-0.005183774960106548,0.005183774960106548
cat__subcategory_weight-loss,-0.005134795088562168,0.005134795088562168
cat__subcategory_wines,-0.004164723387940761,0.004164723387940761
cat__subcategory_newsphotos,-0.0036026829704898632,0.0036026829704898632
cat__subcategory_downtime,-0.003440455289737903,0.003440455289737903
cat__subcategory_autosownership,-0.003242489528055214,0.003242489528055214
cat__subcategory_advice,-0.0031268985598998287,0.0031268985598998287
cat__subcategory_tunedin,-0.002994111585680068,0.002994111585680068
cat__subcategory_tennis_intl,0.002709705991573378,0.002709705991573378
cat__subcategory_shop-all,-0.002582718056808598,0.002582718056808598
cat__subcategory_holidays,-0.0022816212105479993,0.0022816212105479993
cat__subcategory_photos,0.002154727219209936,0.002154727219209936
cat__subcategory_baseball_mlb_videos,-0.002092823408738654,0.002092823408738654
cat__subcategory_sports,0.0019935558346769887,0.0019935558346769887
cat__subcategory_newsworldpolitics,-0.001960917306910957,0.001960917306910957
cat__subcategory_music-reviews,0.0015721001414424611,0.0015721001414424611
cat__subcategory_empowering-the-planet,-0.001449478858178678,0.001449478858178678
cat__subcategory_cardio,-0.0014321295079872968,0.0014321295079872968
cat__subcategory_autosvideos,0.001398786587908311,0.001398786587908311
cat__subcategory_soccer_epl,-0.0010689049126386988,0.0010689049126386988
cat__subcategory_tvvideos,0.0010486216186592493,0.0010486216186592493
cat__subcategory_entertainmentmusic,-0.0009612600729222471,0.0009612600729222471
cat__subcategory_wonder,-0.000863200005599316,0.000863200005599316
cat__subcategory_boxing,-0.0008511961048683729,0.0008511961048683729
cat__subcategory_finance-technology,0.0007441583758277644,0.0007441583758277644
cat__subcategory_comedy,-0.0007280774280397403,0.0007280774280397403
cat__subcategory_newsother,-0.0006671946035492023,0.0006671946035492023
cat__subcategory_fun,-0.0006603985611338788,0.0006603985611338788
cat__subcategory_spendingandborrowing,-0.0005622820152435284,0.0005622820152435284
cat__subcategory_watch,-0.0005360548041910962,0.0005360548041910962
cat__subcategory_finance-startinvesting,-0.0005025982989708028,0.0005025982989708028
cat__subcategory_healthyliving,-0.0003768102831943048,0.0003768102831943048
cat__subcategory_shop-apparel,-0.00036213008389376623,0.00036213008389376623
cat__subcategory_outdoors,-0.00032816854619430874,0.00032816854619430874
cat__subcategory_technologyinvesting,-0.0002591573165487305,0.0002591573165487305
cat__category_northamerica,-0.00024109995612618811,0.00024109995612618811
cat__subcategory_northamerica-video,-0.00024109995612618811,0.00024109995612618811
cat__subcategory_cookingschool,-0.0002367422888213812,0.0002367422888213812
cat__subcategory_strength,-0.00020104891356142015,0.00020104891356142015
cat__subcategory_cocktails,-9.090342216132957e-05,9.090342216132957e-05
cat__subcategory_soccer_bund,-8.526260194835162e-05,8.526260194835162e-05
cat__subcategory_travel-adventure-travel,-7.650748726543184e-05,7.650748726543184e-05
cat__subcategory_autoslosangeles,-7.630799210607556e-05,7.630799210607556e-05
cat__subcategory_ads-latingrammys,-5.479490537219256e-05,5.479490537219256e-05
